,state_usa,date_hur
138,Georgia Hurricane Ivan (DR-1554-GA),"Incident Period: September 14, 2004 - October 30, 2004"
139,Florida Hurricane Ivan (DR-1551-FL),"Incident Period: September 13, 2004 - November 17, 2004"
140,Louisiana Hurricane Ivan (DR-1548-LA),"Incident Period: September 13, 2004 - September 26, 2004"
141,Alabama Hurricane Ivan (DR-1549-AL),"Incident Period: September 13, 2004 - September 30, 2004"
142,Mississippi Hurricane Ivan (DR-1550-MS),"Incident Period: September 13, 2004 - September 20, 2004"
143,North Carolina Tropical Storm Frances (DR-1546-NC),"Incident Period: September 7, 2004 - September 12, 2004"
144,Florida Hurricane Frances (DR-1545-FL),"Incident Period: September 3, 2004 - October 8, 2004"
145,South Carolina Hurricane Charley (DR-1543-SC),"Incident Period: August 14, 2004 - August 15, 2004"
146,Florida Hurricane Charley and Tropical Storm Bonnie (DR-1539-FL),"Incident Period: August 11, 2004 - August 30, 2004"
147,Delaware Tropical Storm Henri (DR-1495-DE),"Incident Period: Sep 15, 2003"
148,West Virginia Hurricane Isabel (DR-1496-WV),"Incident Period: September 18, 2003 - September 30, 2003"
149,District of Columbia (DC) Hurricane Isabel (DR-1493-DC),"Incident Period: September 18, 2003 - September 29, 2003"
150,Delaware Hurricane Isabel (DR-1494-DE),"Incident Period: September 18, 2003 - September 29, 2003"
151,Maryland Hurricane Isabel (DR-1492-MD),"Incident Period: September 18, 2003 - September 29, 2003"
152,North Carolina Hurricane Isabel (DR-1490-NC),"Incident Period: September 18, 2003 - September 26, 2003"
153,Virginia Hurricane Isabel (DR-1491-VA),"Incident Period: September 18, 2003 - October 1, 2003"
154,Texas Hurricane Claudette (DR-1479-TX),"Incident Period: July 15, 2003 - July 28, 2003"
155,Alabama Tropical Storm Isidore (DR-1438-AL),"Incident Period: September 23, 2002 - October 1, 2002"
156,Louisiana Hurricane Lili (DR-1437-LA),"Incident Period: October 1, 2002 - October 16, 2002"
157,Mississippi Tropical Storm Isidore (DR-1436-MS),"Incident Period: September 23, 2002 - October 6, 2002"
158,Louisiana Tropical Storm Isidore (DR-1435-LA),"Incident Period: September 21, 2002 - October 1, 2002"
